epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,6707.71,0.88849,0.83677,1.18904,0.84967,0.73863,0.83947,0.63691,0.91261,0.70688,1.01325,0.0002773,0.0002773,0.0002773
75,6798.07,0.88162,0.81932,1.18639,0.84316,0.74527,0.83869,0.63771,0.91503,0.70346,1.01481,0.0002674,0.0002674,0.0002674
76,6887,0.87431,0.8256,1.18465,0.85097,0.7367,0.84001,0.63961,0.91485,0.70199,1.01628,0.0002575,0.0002575,0.0002575
77,6974.31,0.88165,0.82323,1.18625,0.85816,0.7342,0.8406,0.64014,0.91052,0.69704,1.01375,0.0002476,0.0002476,0.0002476
78,7064.08,0.87603,0.81859,1.18426,0.86041,0.7305,0.84128,0.6407,0.90717,0.69445,1.01196,0.0002377,0.0002377,0.0002377
79,7149.84,0.87624,0.82018,1.18372,0.86601,0.72878,0.84023,0.64069,0.90522,0.69201,1.01045,0.0002278,0.0002278,0.0002278
80,7242.06,0.87426,0.81207,1.18214,0.8636,0.73262,0.84128,0.63988,0.90401,0.69242,1.00952,0.0002179,0.0002179,0.0002179
81,7335.16,0.87233,0.81174,1.18231,0.86078,0.736,0.84204,0.64053,0.90255,0.69063,1.00887,0.000208,0.000208,0.000208
82,7426.1,0.86774,0.80728,1.17965,0.86379,0.73567,0.84258,0.64179,0.89987,0.68898,1.00734,0.0001981,0.0001981,0.0001981
83,7517.1,0.86538,0.80735,1.17874,0.86297,0.73272,0.84263,0.64285,0.89571,0.68729,1.00535,0.0001882,0.0001882,0.0001882
84,7607.85,0.8711,0.80985,1.18102,0.86485,0.73334,0.84324,0.64373,0.89205,0.68516,1.00386,0.0001783,0.0001783,0.0001783
85,7693.5,0.85566,0.79361,1.17254,0.86093,0.73463,0.84231,0.64455,0.89093,0.68525,1.00297,0.0001684,0.0001684,0.0001684
86,7780.04,0.85812,0.79762,1.17367,0.86953,0.73175,0.84336,0.6451,0.89075,0.68448,1.00293,0.0001585,0.0001585,0.0001585
87,7872.11,0.84859,0.78253,1.16894,0.86728,0.73124,0.84376,0.64527,0.88938,0.68207,1.00217,0.0001486,0.0001486,0.0001486
88,7956.59,0.85313,0.7889,1.17041,0.86896,0.73124,0.84335,0.64505,0.88937,0.68123,1.00241,0.0001387,0.0001387,0.0001387
89,8045.38,0.84262,0.77772,1.16539,0.86549,0.73263,0.84354,0.645,0.89047,0.68053,1.00314,0.0001288,0.0001288,0.0001288
90,8138.36,0.85881,0.79561,1.1725,0.86791,0.7336,0.84363,0.64487,0.89092,0.67993,1.0037,0.0001189,0.0001189,0.0001189
91,8229.49,0.70678,0.56606,1.07813,0.86376,0.73595,0.84231,0.64495,0.88769,0.6797,1.00222,0.000109,0.000109,0.000109
92,8322.58,0.69247,0.53393,1.06884,0.86043,0.74068,0.84353,0.64506,0.8864,0.68075,1.00145,9.91e-05,9.91e-05,9.91e-05
93,8411.54,0.68671,0.52276,1.06766,0.86742,0.73937,0.84356,0.64546,0.8846,0.68167,1.00035,8.92e-05,8.92e-05,8.92e-05
94,8504.38,0.68229,0.51318,1.06424,0.86426,0.74085,0.84366,0.64551,0.88236,0.6823,0.99923,7.93e-05,7.93e-05,7.93e-05
95,8594.83,0.67674,0.51171,1.06453,0.86144,0.74236,0.84455,0.64594,0.88078,0.68196,0.99844,6.94e-05,6.94e-05,6.94e-05
96,8681.26,0.67986,0.50455,1.06488,0.86258,0.74159,0.84427,0.64615,0.88015,0.6813,0.99801,5.95e-05,5.95e-05,5.95e-05
97,8765.52,0.66986,0.50115,1.06114,0.86982,0.73855,0.84398,0.64614,0.87871,0.68114,0.99703,4.96e-05,4.96e-05,4.96e-05
98,8848.96,0.66761,0.49659,1.05396,0.87208,0.73337,0.84408,0.64597,0.87763,0.68184,0.99636,3.97e-05,3.97e-05,3.97e-05
99,8932.3,0.66472,0.49416,1.05492,0.87289,0.73494,0.84382,0.64683,0.8783,0.68248,0.9972,2.98e-05,2.98e-05,2.98e-05
100,9013.49,0.6619,0.48882,1.05282,0.86951,0.73654,0.84429,0.64681,0.87842,0.68265,0.99731,1.99e-05,1.99e-05,1.99e-05
